company_name,uid,sitz,kanton
A + A Real Estate AG,CHE-316.492.461,Basel,BS
Aar Immobilien AG,CHE-336.523.716,Pratteln,BL
Aarwell AG in Liquidation,CHE-107.984.250,Münchenstein,BL
ABA Aeschenplatz Zahnklinik AG,CHE-482.613.754,Basel,BS
Abacus Shipping AG,CHE-107.381.471,Basel,BS
Abaimmobilien AG,CHE-434.115.904,Liestal,BL
Abakus Natursteine AG in Liquidation,CHE-106.016.891,Birsfelden,BL
Abalis Finance AG,CHE-112.867.710,Basel,BS
Abata AG,CHE-318.345.865,Basel,BS
Abatrax Swiss AG,CHE-191.541.394,Pratteln,BL
ABBA Therapeutics AG,CHE-252.799.475,Basel,BS
abbeoo ltd,CHE-112.279.105,Basel,BS
Abbmira Therapeutics AG,CHE-328.588.820,Basel,BS
Abbott Products Operations AG,CHE-108.790.702,Allschwil,BL
ABC Garage Allschwil AG,CHE-107.625.928,Allschwil,BL
Abdichtungssysteme Walzer AG,CHE-404.112.628,Muttenz,BL
Abelia Holding AG,CHE-191.771.043,Basel,BS
Abelia Wirtschaftsprüfung und Beratung AG,CHE-112.589.333,Basel,BS
Abendrot Betriebs AG,CHE-253.533.158,Basel,BS
Abendrot Immobilien AG,CHE-306.894.869,Basel,BS
ABEQ GU AG,CHE-328.580.669,Laufen,BL
ABEQ Holding AG,CHE-193.672.593,Laufen,BL
Abexus AG,CHE-113.874.291,Reinach (BL),BL
A + B Flachdach AG,CHE-112.431.181,Reinach (BL),BL
ABIBA CONSULTING AG,CHE-101.573.865,Basel,BS
A&B IMMO Consulting AG,CHE-268.724.632,Liesberg,BL
ABITS AG,CHE-115.673.303,Basel,BS
Ablauf Reinigung Blitz-Blank AG,CHE-112.949.118,Riehen,BS
ABM BAU AG in Liquidation,CHE-340.021.501,Basel,BS
ABO Treuhand und Generalunternehmen AG in Liquidation,CHE-101.780.855,Riehen,BS
A. + B. Rechsteiner AG,CHE-116.351.747,Basel,BS
ABS Advanced Business Support AG,CHE-107.422.319,Muttenz,BL
Abschiedsagentur AG,CHE-371.403.927,Münchenstein,BL
abstract ag,CHE-189.467.475,Basel,BS
Abt Architekten AG,CHE-107.785.785,Binningen,BL
Abt Automobile AG,CHE-106.734.265,Muttenz,BL
Abt Bodenbeläge AG,CHE-107.734.948,Basel,BS
Abt & Domb AG,CHE-330.108.655,Füllinsdorf,BL
AB Tecofin AG,CHE-102.291.978,Ziefen,BL
Abt Immobilien AG,CHE-101.027.054,Bubendorf,BL
Academia Group Switzerland AG,CHE-112.437.321,Basel,BS
Acadoris Holding AG in Liquidation,CHE-159.908.612,Basel,BS
Acali Basel AG,CHE-102.729.905,Basel,BS
Acar Gastro AG,CHE-330.286.742,Basel,BS
Acar Gerüste AG,CHE-370.194.862,Pratteln,BL
acasa spitex suisse ag in Liquidation,CHE-109.513.565,Basel,BS
AC Auto AG,CHE-113.025.435,Aesch (BL),BL
Acavita Plus AG,CHE-323.151.462,Ettingen,BL
ACB Art Centre Basel AG,CHE-108.663.713,Basel,BS
AC Bontempi AG,CHE-115.308.536,Basel,BS
Accelerated Capital Holding AG in Liquidation,CHE-103.593.525,Birsfelden,BL
Accense S.A.,CHE-432.328.257,Basel,BS
accent.world sa,CHE-490.140.864,Ettingen,BL
Access AG,CHE-100.489.067,Basel,BS
Access-Franchising AG,CHE-101.963.947,Basel,BS
Accord Healthcare AG,CHE-348.682.362,Bottmingen,BL
Accresco Investment AG,CHE-101.131.792,Basel,BS
accroma labtec AG,CHE-232.985.862,Muttenz,BL
Accu-Doc AG,CHE-108.209.449,Basel,BS
AccurAbt AG,CHE-384.593.079,Bettingen,BS
accurato ag,CHE-304.664.353,Basel,BS
Acedes AG,CHE-444.636.524,Basel,BS
Achte PCE River Cruiser AG,CHE-146.474.372,Basel,BS
Achtzehnte PCE River Cruiser AG,CHE-205.903.896,Basel,BS
Acino Pharma AG,CHE-100.042.200,Liesberg,BL
A&C interfinance ag in Liquidation,CHE-103.215.715,Basel,BS
Acitac AG,CHE-102.615.756,Arboldswil,BL
acix ag,CHE-109.383.541,Reinach (BL),BL
Ackermann Architekt BSA SIA AG,CHE-101.218.312,Basel,BS
Ackermannshof AG,CHE-104.474.969,Basel,BS
Ackermannshof by Flavio Fermi AG,CHE-310.543.232,Basel,BS
ACM Biosciences AG,CHE-137.061.516,Basel,BS
ACOS Holding AG,CHE-479.291.294,Sissach,BL
ACOS Immo AG,CHE-457.849.265,Sissach,BL
ACOS Light AG,CHE-314.468.121,Sissach,BL
ACOS Properties AG,CHE-261.018.042,Sissach,BL
acovos AG,CHE-496.333.982,Allschwil,BL
Acquify AG,CHE-244.999.374,Sissach,BL
Acquista AG,CHE-112.366.939,Aesch (BL),BL
AC Rent AG,CHE-112.545.034,Aesch (BL),BL
Acrima AG,CHE-107.905.316,Basel,BS
ACROBiosystems AG,CHE-168.036.626,Basel,BS
ACRUMEN AG,CHE-115.275.322,Basel,BS
ACRUMEN Holding SA,CHE-163.786.192,Basel,BS
ACS Air Cargo Service AG,CHE-106.479.699,Aesch (BL),BL
Actelion Pharmaceuticals Ltd,CHE-103.975.795,Allschwil,BL
Actemium Schweiz AG,CHE-104.289.509,Arlesheim,BL
act entertainment ag,CHE-105.539.092,Basel,BS
Acthera Therapeutics AG in Liq.,CHE-328.740.542,Basel,BS
Acticom AG,CHE-115.686.582,Reinach (BL),BL
ACTICORE AG,CHE-438.916.671,Basel,BS
Actifit Fitness AG,CHE-106.203.341,Basel,BS
Actigroup Holding AG,CHE-433.001.267,Reinach (BL),BL
Actiroom Swiss AG,CHE-381.838.020,Reinach (BL),BL
Activa Wealth AG,CHE-194.161.438,Basel,BS
Active8 Consulting AG,CHE-390.342.775,Basel,BS
Active Brokers AG,CHE-115.035.634,Allschwil,BL
Active People SA,CHE-101.026.480,Binningen,BL
ACTIV IMMOTREUHAND AG,CHE-416.599.906,Allschwil,BL
Actmol AG,CHE-418.709.465,Basel,BS
"Actor AG, Treuhand- und Finanzgesellschaft",CHE-107.785.696,Basel,BS
actricity AG,CHE-109.334.502,Allschwil,BL
Acturum AG,CHE-236.030.169,Münchenstein,BL
Actus AG,CHE-104.463.486,Basel,BS
Adagene AG,CHE-275.564.144,Basel,BS
Adagio AG,CHE-104.349.057,Arlesheim,BL
Adaltex AG,CHE-106.812.830,Ziefen,BL
Adamar Holding AG,CHE-369.287.936,Reinach (BL),BL
Adastra Investment & Consulting AG,CHE-397.982.289,Arlesheim,BL
Adattada AG,CHE-210.285.265,Basel,BS
AdCuram AG,CHE-343.487.882,Liestal,BL
ADD Advanced Drug Delivery Technologies Ltd,CHE-104.018.123,Pratteln,BL
ADD - Immobilien AG,CHE-114.656.087,Hersberg,BL
additional advice AG,CHE-402.342.169,Basel,BS
Adebar AG,CHE-109.566.082,Arlesheim,BL
Ade Immobilien AG,CHE-170.330.093,Basel,BS
Adelga AG,CHE-103.123.958,Basel,BS
ADEV Ökowärme AG,CHE-104.166.870,Liestal,BL
ADEV Solarstrom AG,CHE-100.987.514,Liestal,BL
ADEV Wasserkraftwerk AG,CHE-103.770.299,Liestal,BL
ADEV Windkraft AG,CHE-101.134.520,Liestal,BL
AD Gastronomie AG,CHE-273.694.959,Basel,BS
AD HONOREM TRUST AG,CHE-179.557.935,Basel,BS
adills AG,CHE-145.922.876,Basel,BS
Adimmo AG,CHE-105.526.333,Basel,BS
ADIRIS Holding AG,CHE-111.993.602,Oberdorf (BL),BL
ADMIN AG,CHE-100.178.590,Birsfelden,BL
Adminia AG in Liq.,CHE-228.550.403,Basel,BS
Adobe Research (Schweiz) AG,CHE-106.838.545,Basel,BS
Ad. & O. Christ Söhne AG,CHE-102.960.816,Basel,BS
Adolf Kühner AG,CHE-108.093.365,Birsfelden,BL
A. Dolzan AG,CHE-174.658.552,Münchenstein,BL
ADOS AG,CHE-100.628.736,Bottmingen,BL
AdRegeneer AG,CHE-428.219.576,Basel,BS
Adrepa AG,CHE-102.729.791,Basel,BS
Adroka Immobilien AG,CHE-113.684.649,Allschwil,BL
Adryan AG,CHE-430.567.147,Basel,BS
Advanced Global Engineering AG in Liquidation,CHE-287.796.307,Arlesheim,BL
Advanced Osteotomy Tools - AOT AG in Liquidation,CHE-116.233.875,Basel,BS
Advancience AG in Liquidation,CHE-347.184.860,Allschwil,BL
Advancing the Sanitation Economy Infrastructure Partners AG,CHE-165.236.436,Basel,BS
Adventic AG,CHE-101.477.368,Münchenstein,BL
ADVESYA AG,CHE-155.200.537,Basel,BS
Adviselynx AG,CHE-114.148.715,Basel,BS
Advisopharm AG,CHE-311.889.785,Liestal,BL
Advisura AG,CHE-100.847.089,Basel,BS
AdVita Lifescience AG,CHE-407.216.721,Basel,BS
ADV Life-Science AG,CHE-171.430.739,Seltisberg,BL
advobas AG,CHE-460.487.234,Basel,BS
advocacy - communication and consulting AG,CHE-101.455.421,Basel,BS
advofactory AG,CHE-108.292.255,Basel,BS
Advokatur Héritier & Partner AG,CHE-411.504.028,Basel,BS
Advokatur Stadthof AG,CHE-381.377.303,Reinach (BL),BL
AEB Alternativ-Energie Birsfelden AG,CHE-101.443.398,Birsfelden,BL
Aebin Treuhand AG,CHE-113.761.066,Pratteln,BL
Aebli Zimmermann AG,CHE-109.491.840,Basel,BS
AeBo + Dill AG,CHE-109.341.554,Sissach,BL
AeBo Holding AG,CHE-100.922.199,Basel,BS
Aedeco AG in Liquidation,CHE-102.750.443,Ziefen,BL
Aedificura AG,CHE-103.943.157,Basel,BS
aeon communication AG,CHE-108.736.269,Laufen,BL
Aeppli Tapeten AG,CHE-105.892.714,Allschwil,BL
AEQUITAS AG,CHE-109.302.755,Basel,BS
AEQUITAS Immobilien AG,CHE-191.720.034,Basel,BS
aera.health group AG,CHE-248.338.786,Basel,BS
AE Renovationen AG in Liquidation,CHE-295.372.777,Pratteln,BL
Aerni AG,CHE-101.998.377,Pratteln,BL
Aerni Family Office AG,CHE-113.007.526,Tenniken,BL
Aerztehaus Allschwil AG,CHE-109.442.830,Allschwil,BL
Aeschen Immobilien AG,CHE-360.885.999,Basel,BS
Aeschi Haustechnik AG,CHE-429.170.926,Laufen,BL
aesurge AG,CHE-100.633.909,Muttenz,BL
AET (Aviation Expertise Trading) Swiss Holding AG,CHE-449.769.753,Muttenz,BL
Aeternus AG,CHE-494.508.897,Basel,BS
Affilia Partners AG,CHE-423.185.289,Basel,BS
Affolter Consulting AG,CHE-326.671.338,Frenkendorf,BL
Affox AG,CHE-106.732.237,Allschwil,BL
AFG Basler AG,CHE-112.307.055,Basel,BS
AFH Air Freight Handling AG,CHE-116.178.845,Basel,BS
Afinion AG,CHE-101.665.705,Basel,BS
AFM Aircraft Fleet Management AG,CHE-201.980.716,Laufen,BL
AFONDO TREUHAND AG,CHE-102.056.006,Basel,BS
Agamay AG,CHE-103.049.397,Muttenz,BL
AgBiome A Switzerland AG in Liquidation,CHE-475.015.594,Basel,BS
AgBiome Innovations International AG,CHE-210.491.617,Basel,BS
Ageba Consulting AG,CHE-108.702.081,Muttenz,BL
Ageba Holding AG,CHE-156.415.810,Muttenz,BL
Ageba Treuhand AG,CHE-102.858.997,Muttenz,BL
Agemo Moräne-Beteiligungen AG,CHE-102.743.526,Basel,BS
"Agence 88, Agentur für Marketing und Werbung AG",CHE-102.089.891,Basel,BS
Agencia Cesar's AG,CHE-106.102.390,Basel,BS
Agenus Schweiz AG in Liquidation,CHE-109.865.722,Basel,BS
AGFO AG,CHE-210.869.963,Basel,BS
AG für billige Wohnungen Basel,CHE-102.312.310,Basel,BS
AG für Fruchthandel,CHE-105.932.242,Münchenstein,BL
AG für Jugendförderung KV,CHE-102.761.205,Basel,BS
AG für Liegenschaftswerte,CHE-102.734.450,Basel,BS
AG für Nahrungsmittel-Recycling,CHE-115.670.109,Biel-Benken,BL
AG für Realeigentum,CHE-102.725.712,Basel,BS
Agidens AG in Liquidation,CHE-109.416.838,Pratteln,BL
Agilent Technologies (Schweiz) AG,CHE-106.843.368,Basel,BS
Agissimmo Immobilien AG,CHE-481.643.385,Frenkendorf,BL
AG Kunstwerkraum 1,CHE-103.848.613,Muttenz,BL
Agmin AG,CHE-101.401.810,Birsfelden,BL
Agon Immobilien AG,CHE-102.729.667,Basel,BS
AGRAMU AG,CHE-174.056.324,Basel,BS
Agrano AG,CHE-105.935.039,Allschwil,BL
AGR Auto-Garage Reigoldswil AG,CHE-108.525.494,Reigoldswil,BL
Agreta AG,CHE-107.257.204,Münchenstein,BL
AGREXIS AG,CHE-228.576.526,Liestal,BL
AgricoGas AG,CHE-378.475.810,Münchenstein,BL
Agropress AG,CHE-107.303.270,Riehen,BS
AHA Marketing Kommunikation AG,CHE-107.421.544,Binningen,BL
AHDI AG,CHE-457.271.142,Liestal,BL
ahoiag Ltd.,CHE-104.758.591,Basel,BS
Ahorn AG,CHE-102.721.364,Binningen,BL
Ahorn Wohnmobile Dornegg AG,CHE-103.381.348,Muttenz,BL
AIA Artha Invest AG,CHE-109.299.389,Basel,BS
AIB Aquila Invest Basel AG,CHE-100.600.353,Basel,BS
AIC Atlas Investment Capital Swiss AG in Liquidation,CHE-298.893.179,Muttenz,BL
Aichele Medico AG,CHE-103.587.602,Aesch (BL),BL
Aicos Technologies AG,CHE-108.555.822,Allschwil,BL
AIC Systems AG,CHE-108.752.133,Liestal,BL
AI Family Office AG,CHE-251.131.843,Liestal,BL
aikyma ag,CHE-166.250.433,Basel,BS
AIL Autohandels AG,CHE-105.934.465,Muttenz,BL
AIL Holding AG,CHE-112.403.256,Muttenz,BL
AIM Holding AG,CHE-410.342.266,Basel,BS
AiMorphous Health SA,CHE-222.865.133,Basel,BS
Aircargo Logistics AG,CHE-108.648.145,Basel,BS
Air-Jet AG,CHE-107.793.454,Hölstein,BL
Airnautic AG,CHE-105.805.023,Basel,BS
AIRPHARM SA,CHE-115.899.103,Pratteln,BL
Airplast AG,CHE-293.685.797,Pratteln,BL
Airplus Aviation AG,CHE-477.455.366,Ramlinsburg,BL
Airport Aviation Security AG,CHE-466.168.773,Basel,BS
Airport Casino Basel AG,CHE-108.748.580,Basel,BS
Airport Hotel Basel AG,CHE-112.259.172,Basel,BS
AIRS Cyberbionics AG,CHE-245.733.643,Basel,BS
AIRTEC AG,CHE-107.261.387,Zunzgen,BL
AIT Worldwide Logistics Switzerland AG,CHE-138.828.605,Muttenz,BL
A. Jost AG,CHE-101.130.226,Basel,BS
AKAS Beteiligungen AG,CHE-399.485.027,Pratteln,BL
AKAS Engineering AG,CHE-107.362.433,Oberdorf (BL),BL
Akceso Advisors AG,CHE-355.718.114,Basel,BS
AKE AG,CHE-101.796.483,Basel,BS
Akeno AG,CHE-472.315.344,Basel,BS
Akibo AG in Liquidation,CHE-100.872.727,Arlesheim,BL
AkiZen AG,CHE-293.471.374,Muttenz,BL
Akkord Profi Bau AG,CHE-224.030.501,Aesch (BL),BL
Akkurat Sozial- und Finanzassistenz für Betagte AG,CHE-114.726.434,Basel,BS
Akos & Partner/innen AG,CHE-108.121.062,Basel,BS
AKRZ AG,CHE-106.275.493,Binningen,BL
Aktiengesellschaft Burgrain,CHE-102.154.152,Frenkendorf,BL
"Aktiengesellschaft für Marktforschung, Entwicklung und Ausbau von Kapitalanlagen",CHE-102.734.591,Basel,BS
Aktiengesellschaft für technische Informatik Meystre,CHE-107.368.200,Muttenz,BL
Aktiengesellschaft Immobal,CHE-102.734.533,Basel,BS
Aktiengesellschaft Schulgebäude Rudolf Steiner Schule Münchenstein,CHE-102.071.253,Münchenstein,BL
Aktiengesellschaft zum Dupf in Liquidation,CHE-100.640.542,Basel,BS
AKTIV Bau AG in Liquidation,CHE-352.753.522,Basel,BS
Alabor Gartenbau AG,CHE-114.823.327,Binningen,BL
Alabor Holding AG,CHE-313.640.239,Binningen,BL
à la carte-reisen ag,CHE-305.897.291,Liestal,BL
"A. Lachat AG, Architekturbüro",CHE-103.447.214,Ettingen,BL
Albaron Group AG,CHE-257.224.845,Basel,BS
ALBO Verwaltungen und Beratungen AG,CHE-100.966.073,Ziefen,BL
Albula Holding AG,CHE-306.165.109,Frenkendorf,BL
Albula Property AG,CHE-499.246.641,Frenkendorf,BL
Alcatel-Lucent Trade International AG,CHE-102.490.621,Basel,BS
Alcina AG,CHE-106.724.976,Muttenz,BL
ALDAMIS Holding AG,CHE-115.015.301,Muttenz,BL
Aldeba Treuhand und Revisions AG,CHE-106.637.923,Basel,BS
Alder & Partner AG,CHE-100.338.451,Basel,BS
A. Lehmann & Co. AG,CHE-102.473.427,Liestal,BL
Alentis Therapeutics AG,CHE-227.760.145,Allschwil,BL
A. Lenz AG,CHE-250.469.305,Therwil,BL
Alera Immo AG,CHE-135.215.599,Bubendorf,BL
Aletheia Treuhand AG,CHE-287.106.937,Frenkendorf,BL
ALEVER Immobilien AG,CHE-409.639.995,Hölstein,BL
"Alfa, Immobilien AG",CHE-108.120.128,Münchenstein,BL
Alfama Holding SA,CHE-109.336.346,Basel,BS
Alfa Pack & Food Swiss AG,CHE-468.167.069,Liestal,BL
Alfatron AG,CHE-455.780.510,Basel,BS
Alfina AG,CHE-102.744.299,Basel,BS
Alfos Elektronik AG in Liquidation,CHE-106.240.945,Biel-Benken,BL
Alfred Brönnimann AG Dachdeckergeschäft,CHE-112.263.995,Riehen,BS
Alfred Gschwind Architekt AG,CHE-107.781.712,Therwil,BL
Alfred Imhof AG,CHE-272.917.536,Münchenstein,BL
Alfred Imhof Holding AG,CHE-107.786.075,Münchenstein,BL
Alfred Rüdisühli Holding AG,CHE-152.366.555,Basel,BS
ALFS AG,CHE-107.735.474,Bottmingen,BL
algate ag,CHE-105.072.450,Pratteln,BL
Algeco Schweiz AG,CHE-412.660.524,Basel,BS
Algon AG,CHE-105.958.661,Basel,BS
Algorithmic Asset Management AG in Liquidation,CHE-485.222.982,Basel,BS
Algo Tech AG in Liquidation,CHE-199.605.974,Reinach (BL),BL
Alhambra World AG in Liquidation,CHE-379.814.257,Basel,BS
Alifresca AG,CHE-383.707.570,Basel,BS
Alimarca AG,CHE-112.397.236,Muttenz,BL
ALINEA Holding AG,CHE-425.917.394,Basel,BS
"Alinea, Werner Abt AG",CHE-105.988.716,Basel,BS
Aliophtha AG,CHE-114.643.311,Binningen,BL
aliq ag in Liq.,CHE-213.201.678,Basel,BS
Alira Health AG,CHE-322.268.995,Basel,BS
"Alispach AG, Metallbau, Schlosserei",CHE-106.606.130,Gelterkinden,BL
Alispach Malergeschäft AG,CHE-105.946.853,Arlesheim,BL
Alkag Holding AG,CHE-100.022.568,Arlesheim,BL
ALKAG Immobilien AG,CHE-100.058.810,Arlesheim,BL
all4-PCB (Schweiz) AG in Liquidation,CHE-109.483.332,Allschwil,BL
Allbau Suisse AG,CHE-162.089.601,Basel,BS
Allcon AG,CHE-113.928.981,Basel,BS
Alldomus AG,CHE-260.803.067,Reinach (BL),BL
Allegria Therapeutics AG,CHE-448.817.007,Basel,BS
Allegro Invest AG,CHE-115.463.680,Basel,BS
Allemann AG,CHE-101.223.715,Basel,BS
Allemann Financial Services AG,CHE-217.391.477,Basel,BS
Allemann Holding AG Blauen,CHE-417.560.255,Blauen,BL
allemann insurance broker ag,CHE-245.883.573,Blauen,BL
Allergiezentrum Nordwest AG,CHE-421.468.316,Pratteln,BL
Allevio Treuhand AG,CHE-450.256.302,Basel,BS
Allfarm AG,CHE-107.486.118,Buckten,BL
Allfix AG,CHE-218.241.107,Lausen,BL
allgroup Immobilien AG,CHE-352.534.121,Arlesheim,BL
allgroup Invest AG,CHE-318.654.935,Arlesheim,BL
Alliance Immobilien AG,CHE-493.777.845,Basel,BS
Alliance Transport AG,CHE-222.523.158,Basel,BS
ALLIGATOR-TIS AG,CHE-180.901.399,Basel,BS
allmode AG,CHE-259.181.968,Therwil,BL
AlloCyte Pharmaceuticals AG,CHE-469.606.752,Basel,BS
Alloy Therapeutics (Switzerland) AG,CHE-130.914.744,Allschwil,BL
Allpack Finanz AG,CHE-207.061.156,Reinach (BL),BL
Allpack Group AG,CHE-108.207.717,Reinach (BL),BL
ALLPARA AG,CHE-157.159.360,Basel,BS
Allpedes AG,CHE-103.642.388,Reinach (BL),BL
allSafety AG,CHE-203.221.834,Allschwil,BL
Allschwil Wohnen AG,CHE-270.649.000,Allschwil,BL
Allseal AG,CHE-441.285.322,Reinach (BL),BL
Allsped AG,CHE-105.824.440,Basel,BS
Alltax AG Treuhandgesellschaft,CHE-116.382.618,Basel,BS
Alltax AG Wirtschaftsprüfung,CHE-105.815.004,Basel,BS
Alltech Installationen AG,CHE-106.833.200,Muttenz,BL
Allthings Technologies AG,CHE-191.384.657,Basel,BS
Alltouch AG,CHE-411.416.217,Oberwil (BL),BL
Alltouch Holding AG,CHE-111.699.315,Oberwil (BL),BL
ALM AG,CHE-480.171.426,Basel,BS
Almapharm AG,CHE-106.009.939,Basel,BS
ALMI International AG in Liquidation,CHE-108.035.994,Muttenz,BL
Almundus Customs Services AG,CHE-115.563.850,Basel,BS
Alnea Immobilien AG,CHE-115.282.724,Liestal,BL
alniba ag,CHE-454.479.491,Basel,BS
Alois Schmidlin AG,CHE-107.789.228,Arlesheim,BL
Alona Treuhand AG,CHE-107.972.005,Reinach (BL),BL
Alowag AG,CHE-107.894.718,Reinach (BL),BL
ALPAVERT AG,CHE-101.576.496,Muttenz,BL
AlpENa Biosciences AG,CHE-427.982.563,Basel,BS
ALPENBECK AG,CHE-109.852.033,Reinach (BL),BL
ALPEN CONSULTING UND MARKETING AG,CHE-109.078.701,Binningen,BL
Alper AG,CHE-100.184.969,Basel,BS
Alpha Architektur AG in Nachlassliquidation,CHE-109.687.113,Giebenach,BL
Alpha Diagnostics AG,CHE-391.954.981,Reinach (BL),BL
Alpha Fensterbau AG in Liquidation,CHE-449.398.467,Birsfelden,BL
ALPHA Gruppe AG,CHE-165.791.471,Basel,BS
Alphaintex AG,CHE-402.505.230,Diegten,BL
Alpha MET AG,CHE-444.010.253,Basel,BS
AlphaMol Science AG,CHE-139.729.130,Allschwil,BL
Alpha & Omega Invest AG,CHE-100.118.240,Arlesheim,BL
Alpha-O Peptides AG,CHE-110.030.440,Riehen,BS
Alpha Revisions AG,CHE-103.633.254,Basel,BS
Alpha Samadhi AG,CHE-109.356.805,Basel,BS
ALPHA-SPED AG,CHE-106.731.031,Arlesheim,BL
Alphathera AG,CHE-252.774.653,Basel,BS
Alpha Treuhand AG,CHE-108.392.767,Basel,BS
ALPINEA AG,CHE-478.937.515,Basel,BS
Alpmann AG in Liquidation,CHE-167.170.699,Arlesheim,BL
Alp Medtech AG,CHE-387.664.089,Basel,BS
Alrima Holding AG,CHE-105.930.639,Muttenz,BL
ALR Immo AG,CHE-404.741.882,Itingen,BL
Alsa AG,CHE-101.972.308,Allschwil,BL
Alsaba AG,CHE-102.744.201,Basel,BS
ALSACO Engineering AG,CHE-101.612.927,Allschwil,BL
ALS Customs Services AG,CHE-112.155.259,Basel,BS
Alser Immo AG,CHE-197.858.286,Augst,BL
ALSSQU AG,CHE-452.777.753,Basel,BS
Altamira Medica AG,CHE-437.410.127,Basel,BS
Altamira Therapeutics AG,CHE-455.709.593,Basel,BS
alta uro AG,CHE-273.579.465,Basel,BS
Alteno AG,CHE-106.020.711,Basel,BS
Alteno Solar AG,CHE-108.563.655,Basel,BS
Alterkap AG,CHE-108.584.746,Muttenz,BL
Alternate Swisspower AG,CHE-446.549.273,Burg im Leimental,BL
Alternativwelt AG,CHE-431.119.337,Basel,BS
Alterspflegeheim Humanitas AG,CHE-107.261.430,Riehen,BS
Altintas AG,CHE-278.725.171,Pratteln,BL
AltioraX AG,CHE-398.004.000,Liestal,BL
Altos Venture AG,CHE-150.710.529,Allschwil,BL
Altra AG,CHE-102.725.563,Basel,BS
Altroplan AG in Liquidation,CHE-104.725.781,Laufen,BL
Alt Transport AG,CHE-107.785.199,Münchenstein,BL
ALTUS PARTNERS BioMed Tech Innovations AG,CHE-279.155.520,Basel,BS
AluConcept Holding SA,CHE-112.904.765,Basel,BS
ALUDESIGN AG,CHE-471.965.901,Allschwil,BL
ALUinside AG,CHE-101.633.243,Basel,BS
Alumet AG,CHE-107.431.229,Dittingen,BL
Aluminium - Laufen AG Liesberg,CHE-102.242.106,Liesberg,BL
Alutec Design Studio AG in Liquidation,CHE-419.339.661,Basel,BS
AlvantGuard AG,CHE-302.263.693,Basel,BS
Alvareal Basel AG,CHE-168.327.638,Basel,BS
Alvarez Real Estate AG,CHE-379.497.151,Basel,BS
ALWEBA AG,CHE-109.676.859,Münchenstein,BL
ALWER Pharma AG,CHE-101.423.912,Birsfelden,BL
Alwys Immobilien AG,CHE-112.449.258,Therwil,BL
Alyssum Investments AG,CHE-394.590.562,Basel,BS
AMAC Aerospace Switzerland AG,CHE-113.783.062,Basel,BS
